11:30:37,-5.765,-10.419,0.945;-0.458;0.161
11:30:38,-5.780,-10.524,0.934;-0.450;0.178
11:30:39,-5.899,-10.512,0.938;-0.459;0.178
11:30:40,-5.824,-10.609,0.936;-0.451;0.184
11:30:41,-5.420,-10.403,0.943;-0.459;0.171
11:30:43,-5.971,-10.461,0.933;-0.471;0.171
11:30:44,-5.733,-10.565,0.929;-0.465;0.184
11:30:45,-5.777,-10.716,0.939;-0.463;0.188
11:30:46,-5.769,-10.369,0.929;-0.460;0.176
11:30:47,-5.682,-10.449,0.940;-0.455;0.177
11:30:48,-5.641,-10.591,0.944;-0.462;0.174
11:30:49,-5.695,-10.625,0.927;-0.454;0.180
11:30:50,-5.742,-10.604,0.931;-0.460;0.177
11:30:51,-5.626,-10.769,0.932;-0.453;0.179
11:30:52,-5.399,-10.902,0.936;-0.461;0.177
11:30:53,-5.568,-11.107,0.928;-0.461;0.166
11:30:54,-5.204,-10.601,0.927;-0.452;0.172
11:30:55,-5.335,-10.517,0.928;-0.462;0.174
11:30:56,-5.438,-10.329,0.944;-0.457;0.169
11:30:57,-5.579,-10.412,0.940;-0.457;0.174
11:30:58,-5.745,-10.360,0.947;-0.461;0.185
11:30:59,-5.684,-10.502,0.941;-0.460;0.170
11:31:00,-5.737,-10.588,0.939;-0.457;0.179
11:31:01,-5.813,-10.551,0.942;-0.453;0.174
11:31:02,-5.739,-10.514,0.942;-0.452;0.176
11:31:03,-4.805,-9.843,0.935;-0.457;0.168
11:31:04,-5.973,-10.078,0.935;-0.457;0.169
11:31:05,-5.555,-10.341,0.936;-0.450;0.174
11:31:06,-5.586,-10.828,0.942;-0.457;0.187
11:31:07,-5.651,-10.307,0.943;-0.459;0.173
11:31:08,-5.637,-10.522,0.943;-0.459;0.176
11:31:09,-3.956,-10.059,0.939;-0.449;0.166
11:31:10,-5.178,-10.792,0.940;-0.459;0.178
11:31:11,-5.762,-10.586,0.943;-0.458;0.190
11:31:12,-5.684,-10.439,0.941;-0.464;0.169
11:31:13,-5.880,-10.569,0.942;-0.449;0.178
11:31:14,-5.732,-11.030,0.946;-0.457;0.180
11:31:15,-5.835,-9.909,0.944;-0.460;0.180
11:33:29,-5.664,-10.347,0.950;-0.455;0.189
11:33:38,-5.712,-10.650,0.929;-0.450;0.185
11:33:39,-5.515,-10.726,0.928;-0.446;0.185
11:33:40,-5.833,-10.472,0.931;-0.452;0.183
11:33:41,-5.630,-10.485,0.928;-0.450;0.174
11:33:42,-6.016,-10.139,0.937;-0.450;0.191
11:33:43,-5.623,-10.318,0.935;-0.451;0.181
11:33:44,-5.965,-10.602,0.934;-0.449;0.182
11:33:45,-5.905,-10.634,0.929;-0.453;0.183
11:33:46,-5.843,-10.860,0.933;-0.446;0.176
11:33:47,-5.751,-10.538,0.935;-0.450;0.178
11:33:48,-5.648,-10.491,0.932;-0.450;0.181
11:33:49,-5.329,-10.471,0.941;-0.448;0.180
11:33:50,-5.682,-10.525,0.932;-0.450;0.186
11:33:51,-5.612,-10.284,0.931;-0.450;0.183
11:33:52,-5.853,-10.510,0.929;-0.448;0.181
11:33:53,-5.920,-10.631,0.933;-0.445;0.187
11:33:54,-5.047,-10.921,0.932;-0.444;0.192
11:33:55,-5.837,-10.720,0.929;-0.451;0.186
11:33:56,-5.691,-10.875,0.928;-0.441;0.185
11:33:57,-5.761,-10.381,0.932;-0.447;0.188
11:33:58,-5.614,-10.590,0.935;-0.448;0.176
11:33:59,-5.284,-10.689,0.934;-0.456;0.179
11:34:00,-5.126,-10.885,0.915;-0.436;0.187
11:34:01,-5.610,-11.090,0.916;-0.442;0.181
11:34:02,-5.665,-10.532,0.903;-0.436;0.188
11:34:03,-5.498,-10.551,0.915;-0.444;0.185
11:34:04,-6.439,-10.492,0.909;-0.453;0.177
11:34:06,-6.369,-10.537,0.919;-0.437;0.177
11:34:07,-5.782,-9.992,0.911;-0.444;0.183
11:34:08,-5.736,-10.655,0.921;-0.435;0.185
11:34:09,-6.151,-10.089,0.924;-0.453;0.182
11:34:10,-5.758,-10.797,0.924;-0.452;0.184
11:34:11,-5.444,-10.405,0.930;-0.464;0.184
11:34:12,-5.497,-10.580,0.930;-0.457;0.178
11:34:13,-5.617,-10.540,0.937;-0.458;0.188
11:34:14,-5.240,-10.555,0.927;-0.461;0.175
11:34:15,-5.315,-10.778,0.932;-0.456;0.188
11:34:16,-6.044,-10.725,0.936;-0.462;0.197
11:34:17,-6.126,-10.611,0.928;-0.458;0.196
11:34:18,-5.250,-10.246,0.932;-0.458;0.190
11:34:19,-5.490,-10.273,0.933;-0.458;0.176
11:34:20,-5.598,-11.606,0.934;-0.455;0.182
11:34:21,-5.760,-10.913,0.939;-0.454;0.186
11:34:22,-6.066,-10.115,0.935;-0.462;0.173
11:34:23,-5.956,-10.138,0.936;-0.462;0.172
11:34:24,-5.382,-9.736,0.933;-0.455;0.184
11:34:25,-3.419,-10.987,0.935;-0.453;0.172
11:34:26,-4.156,-10.005,0.929;-0.457;0.173
11:34:27,-6.014,-10.623,0.937;-0.450;0.190
11:34:28,-6.003,-10.188,0.934;-0.460;0.186
11:34:29,-5.841,-10.583,0.926;-0.463;0.186
11:34:30,-6.009,-10.528,0.927;-0.455;0.172
11:34:31,-5.787,-10.229,0.927;-0.456;0.178
11:34:32,-5.476,-10.347,0.924;-0.445;0.176
11:34:33,-5.707,-10.619,0.922;-0.454;0.186
11:34:34,-5.758,-10.485,0.926;-0.446;0.172
11:34:35,-5.795,-10.499,0.922;-0.452;0.181
11:34:36,-5.712,-10.526,0.925;-0.453;0.173
11:34:37,-5.850,-10.268,0.929;-0.451;0.177
11:34:38,-5.904,-10.373,0.925;-0.460;0.177
11:34:39,-5.605,-10.669,0.918;-0.454;0.181
11:34:40,-5.503,-10.592,0.921;-0.458;0.173
11:34:41,-5.636,-10.437,0.923;-0.451;0.192
11:34:42,-5.572,-9.824,0.927;-0.451;0.173
11:34:43,-5.532,-9.551,0.927;-0.450;0.173
11:34:44,-5.595,-10.095,0.923;-0.459;0.178
11:34:45,-5.715,-10.178,0.921;-0.451;0.184
11:34:46,-5.808,-10.512,0.917;-0.460;0.182
11:34:47,-5.720,-10.520,0.918;-0.459;0.177
11:34:48,-5.781,-10.460,0.922;-0.450;0.173
11:34:49,-5.701,-10.637,0.925;-0.462;0.192
11:34:50,-5.681,-10.551,0.928;-0.460;0.178
11:34:51,-4.405,-10.647,0.922;-0.457;0.185
11:34:52,-6.111,-10.828,0.921;-0.453;0.172
11:34:53,-5.984,-10.717,0.924;-0.446;0.183
11:34:54,-5.720,-10.785,0.921;-0.457;0.182
11:34:55,-5.536,-10.636,0.919;-0.453;0.176
11:34:57,-5.520,-10.603,0.919;-0.456;0.168
12:20:18,-5.769,-10.779,0.946;-0.396;0.156
12:20:28,-5.559,-10.567,0.942;-0.410;0.166
12:20:29,-5.668,-10.616,0.954;-0.421;0.157
12:20:30,-5.571,-10.520,0.943;-0.410;0.152
12:20:31,-5.761,-10.417,0.949;-0.404;0.168
12:20:32,-5.620,-10.507,0.941;-0.411;0.161
12:20:33,-5.728,-10.717,0.945;-0.417;0.161
12:20:34,-5.699,-10.439,0.940;-0.411;0.160
12:20:35,-5.268,-10.424,0.949;-0.410;0.163
12:20:36,-5.714,-10.674,0.947;-0.412;0.155
12:20:37,-5.847,-10.581,0.950;-0.411;0.166
12:20:38,-5.757,-10.615,0.953;-0.410;0.164
12:20:39,-5.908,-12.122,0.950;-0.408;0.160
12:20:40,-5.979,-11.122,0.947;-0.405;0.155
12:20:41,-5.567,-10.229,0.949;-0.410;0.156
12:20:42,-5.813,-10.477,0.948;-0.413;0.173
12:20:43,-5.736,-10.716,0.952;-0.412;0.166
12:20:44,-5.739,-10.576,0.947;-0.413;0.158
12:20:46,-5.602,-10.693,0.943;-0.421;0.156
12:20:47,-5.555,-10.599,0.951;-0.404;0.167
12:20:48,-5.865,-10.570,0.954;-0.410;0.158
12:20:49,-5.809,-10.499,0.945;-0.411;0.156
12:20:50,-5.804,-10.602,0.941;-0.416;0.154
12:20:52,-5.717,-10.603,0.942;-0.411;0.151
12:20:53,-5.648,-10.564,0.939;-0.412;0.149
12:20:55,-5.338,-10.524,0.941;-0.409;0.153
12:20:56,-5.637,-10.477,0.942;-0.405;0.142
12:20:57,-5.550,-10.661,0.946;-0.408;0.151
12:20:58,-5.653,-10.933,0.944;-0.415;0.152
12:20:59,-5.795,-10.609,0.949;-0.410;0.158
12:21:01,-5.690,-10.606,0.946;-0.410;0.164
12:21:02,-5.679,-10.544,0.950;-0.412;0.151
12:21:04,-5.600,-10.467,0.949;-0.414;0.157
12:21:05,-5.625,-10.780,0.947;-0.406;0.150
12:21:07,-5.556,-10.597,0.952;-0.417;0.163
12:21:08,-5.743,-10.724,0.945;-0.417;0.162
12:21:09,-5.561,-10.531,0.945;-0.412;0.157
12:21:10,-5.706,-10.591,0.959;-0.414;0.159
12:21:11,-5.876,-10.575,0.955;-0.410;0.165
12:21:13,-5.733,-10.469,0.951;-0.419;0.163
12:21:14,-5.659,-10.501,0.943;-0.421;0.168
12:21:16,-5.698,-10.639,0.947;-0.413;0.156
12:21:17,-5.750,-10.491,0.952;-0.408;0.155
12:21:19,-5.833,-10.655,0.949;-0.418;0.168
12:21:20,-5.748,-10.658,0.957;-0.412;0.157
12:21:21,-5.668,-9.889,0.943;-0.411;0.161
12:21:23,-5.730,-10.393,0.945;-0.412;0.157
12:21:24,-5.678,-10.614,0.946;-0.414;0.164
12:21:25,-5.777,-11.548,0.948;-0.406;0.153
12:21:26,-5.795,-10.725,0.947;-0.410;0.159
12:21:27,-5.747,-10.549,0.950;-0.418;0.152
12:21:29,-5.594,-10.599,0.951;-0.415;0.163
12:21:30,-5.702,-10.688,0.953;-0.417;0.149
12:21:31,-5.864,-10.595,0.954;-0.413;0.159
12:21:33,-5.684,-10.535,0.945;-0.413;0.159
12:21:34,-5.784,-10.629,0.949;-0.409;0.162
12:21:36,-5.648,-10.626,0.951;-0.412;0.176
12:21:37,-5.667,-10.729,0.949;-0.408;0.157
12:21:38,-5.795,-10.552,0.952;-0.418;0.165
12:21:39,-5.640,-10.611,0.950;-0.409;0.156
12:21:40,-5.577,-10.486,0.953;-0.415;0.162
12:21:41,-5.570,-10.572,0.949;-0.415;0.162
12:21:43,-5.676,-10.481,0.947;-0.411;0.156
12:21:45,-5.812,-10.679,0.942;-0.409;0.172
12:21:46,-5.563,-10.538,0.955;-0.409;0.158
12:21:47,-5.628,-10.675,0.946;-0.420;0.169
12:21:48,-5.703,-10.577,0.954;-0.408;0.169
12:21:50,-5.647,-10.720,0.949;-0.411;0.163
12:21:52,-5.625,-10.616,0.947;-0.410;0.161
12:21:53,-5.668,-10.805,0.956;-0.404;0.163
12:21:54,-5.701,-10.562,0.939;-0.413;0.165
12:21:56,-5.625,-10.607,0.945;-0.413;0.159
12:21:57,-6.093,-10.408,0.946;-0.414;0.167
12:21:59,-5.529,-10.341,0.950;-0.413;0.158
12:22:00,-5.768,-10.572,0.945;-0.409;0.160
12:22:02,-5.631,-10.596,0.952;-0.407;0.163
12:22:03,-5.866,-9.899,0.948;-0.408;0.169
12:22:04,-5.610,-10.682,0.942;-0.416;0.150
12:22:05,-5.517,-10.701,0.945;-0.412;0.159
12:22:06,-5.554,-10.780,0.954;-0.414;0.142
12:22:07,-5.778,-10.633,0.949;-0.410;0.149
12:22:08,-5.878,-10.461,0.939;-0.408;0.148
12:22:09,-5.879,-10.404,0.944;-0.409;0.154
12:22:10,-5.951,-10.322,0.958;-0.414;0.160
12:22:11,-5.619,-10.541,0.944;-0.413;0.161
12:22:12,-5.757,-10.448,0.938;-0.415;0.157
12:22:13,-5.865,-10.523,0.940;-0.411;0.157
12:22:14,-5.330,-9.838,0.940;-0.412;0.153
12:22:15,-5.792,-10.511,0.942;-0.409;0.153
12:22:16,-5.487,-10.684,0.937;-0.412;0.160
12:22:17,-5.602,-10.538,0.945;-0.412;0.166
12:22:18,-5.922,-10.442,0.944;-0.412;0.158
12:22:19,-5.703,-10.521,0.947;-0.410;0.172
12:22:20,-5.582,-10.443,0.947;-0.416;0.167
12:22:21,-5.460,-10.846,0.946;-0.416;0.177
12:22:22,-5.851,-10.472,0.942;-0.415;0.178
