
0.853,0.376,0.439;-0.202;-0.625,19.500
0.713,0.944,0.434;-0.196;-0.622,19.500
0.048,0.412,0.438;-0.196;-0.613,19.500
-7.493,-3.426,0.506;-0.218;-0.687,19.500
-7.578,-3.746,0.512;-0.217;-0.682,19.500
-7.512,-3.458,0.510;-0.219;-0.678,19.500
-7.527,-3.600,0.514;-0.223;-0.694,19.500
-7.641,-3.547,0.509;-0.222;-0.679,19.500
-7.551,-3.564,0.508;-0.219;-0.688,19.500
-7.434,-3.629,0.509;-0.222;-0.679,19.500
-7.449,-3.529,0.515;-0.219;-0.676,19.500
-7.439,-3.381,0.515;-0.208;-0.682,19.500
-7.540,-3.442,0.510;-0.217;-0.675,19.500
-7.564,-3.516,0.522;-0.213;-0.684,19.500
-7.569,-3.515,0.517;-0.216;-0.677,19.500
-7.411,-3.473,0.513;-0.212;-0.678,19.500
-7.498,-3.377,0.518;-0.214;-0.679,19.500
0.744;-0.459;9.884,0.175;-0.270;-0.666,0.049;-0.039;0.014,19.500
0.758;-0.452;9.862,0.196;-0.254;-0.653,0.053;-0.041;0.014,20.500
-3.208;-0.384;9.431,-0.015;-0.228;-0.590,0.051;-0.039;0.012,19.500
-3.226;-0.369;9.413,-0.019;-0.223;-0.585,0.054;-0.040;0.013,19.500
-3.240;-0.351;9.430,-0.019;-0.221;-0.578,0.053;-0.036;0.013,19.500
-3.226;-0.370;9.438,-0.009;-0.226;-0.598,0.056;-0.039;0.014,19.500
6.574,-6.536,-0.073;-0.253;-0.651,19.500
2.638,7.037,-0.096;-0.297;-0.686,19.500
-1.194,1.845,-0.098;-0.292;-0.698,19.500
6.926,-2.838,-0.084;-0.295;-0.673,19.500
8.744,0.780,-0.096;-0.289;-0.675,19.500
28.168,1.522,-0.075;-0.298;-0.673,19.500
-12.046,3.933,-0.093;-0.300;-0.696,19.500
-3.695,-3.067,-0.071;-0.302;-0.680,19.500
-4.711,11.561,-0.080;-0.296;-0.656,19.500
-0.753,2.800,-0.088;-0.313;-0.687,19.500
-3.852,-2.506,-0.069;-0.331;-0.664,19.500
26.425,-35.272,-0.057;-0.287;-0.645,19.500
-0.090,7.649,-0.055;-0.306;-0.642,19.500
-8.911,-7.926,-0.047;-0.290;-0.659,19.500
-9.544,2.856,-0.056;-0.294;-0.671,19.500
-2.122,3.021,-0.057;-0.297;-0.659,19.500
-0.978,2.763,-0.056;-0.294;-0.670,19.500
-1.227,3.914,-0.062;-0.300;-0.659,19.500
1.565,7.801,-0.058;-0.301;-0.675,19.500
-1.616,2.094,-0.049;-0.269;-0.677,19.500
0.976,6.593,-0.060;-0.311;-0.673,19.500
-2.424,6.533,-0.062;-0.298;-0.675,19.500
0.802,6.289,-0.054;-0.304;-0.662,19.500
-1.825,6.888,-0.047;-0.319;-0.671,19.500
-0.447,4.419,-0.051;-0.318;-0.662,19.500
-51.966,3.878,-0.039;-0.309;-0.677,19.500
2.430,7.929,-0.050;-0.310;-0.671,19.500
63.573,-26.679,-0.033;-0.301;-0.651,19.500
23.122,8.133,-0.058;-0.318;-0.673,19.500
-5.193,-2.121,-0.054;-0.307;-0.677,19.500
3.342,10.949,-0.064;-0.319;-0.681,19.500
-0.516,4.117,-0.042;-0.314;-0.684,19.500
9.002,7.019,-0.050;-0.326;-0.691,19.500
-1.319,5.425,-0.066;-0.336;-0.679,19.500
-4.305,-3.787,-0.047;-0.304;-0.662,19.500
1.186,5.849,-0.051;-0.307;-0.676,19.500
-3.113,1.133,-0.044;-0.308;-0.671,19.500
-0.679,5.900,-0.046;-0.320;-0.677,19.500
-0.065,12.921,-0.041;-0.309;-0.676,19.500
-0.661,4.155,-0.047;-0.316;-0.676,19.500
-1.279,4.964,-0.042;-0.320;-0.662,19.500
-0.249,10.224,-0.049;-0.324;-0.680,19.500
11.855,-4.463,-0.032;-0.323;-0.669,19.500
1.088,10.192,-0.043;-0.322;-0.676,19.500
8.289,15.090,-0.029;-0.306;-0.684,19.500
4.612,4.199,-0.042;-0.328;-0.673,19.500
-12.573,5.664,-0.028;-0.311;-0.679,19.500
2.186,7.589,-0.034;-0.328;-0.676,19.500
-0.380,4.839,-0.042;-0.326;-0.665,19.500
11.073,15.695,-0.047;-0.329;-0.689,19.500
1.173,6.390,-0.043;-0.326;-0.662,19.500
-1.278,4.768,-0.036;-0.327;-0.683,19.500
-0.458,2.505,0.000;-0.301;-0.673,19.500
-0.624,4.049,-0.031;-0.330;-0.687,19.500
-1.750,1.081,-0.024;-0.326;-0.682,19.500
